,Organisation name,Identifying details,Scope 1 (tCO2-e),Scope 2 (tCO2-e),Net energy consumed (GJ),Scope 1 + 2 (tCO2-e)
0,AGL ENERGY LIMITED,74 115 061 375,42227180,512404,327755307,42739584
1,ENERGYAUSTRALIA HOLDINGS LIMITED,57 101 876 135,17935957,229029,147473227,18164986
2,STANWELL CORPORATION LIMITED,37 078 848 674,17126943,64484,126966249,17191427
3,ORIGIN ENERGY LIMITED,30 000 051 696,15997984,2402842,143163928,18400826
4,C S ENERGY LIMITED,54 078 848 745,13199922,127393,91862108,13327315
10,SANTOS LIMITED,80 007 550 923,7321595,573763,99466411,7895358
11,RIO TINTO LIMITED,96 004 458 404,7267602,7736906,143043355,15004508
13,ANGLO AMERICAN AUSTRALIA LIMITED,47 004 892 371,7233570,826367,22241504,8059937
14,DELTA ELECTRICITY PTY LTD,66 620 205 263,7074216,127812,48217285,7202028
15,SOUTH32 LIMITED,84 093 732 597,6703813,415548,60333384,7119361
16,GLENCORE HOLDINGS PTY LIMITED,41 104 160 689,6578739,1825876,58773943,8404615
17,ALCOA AUSTRALIAN HOLDINGS PTY LTD,33 096 987 370,6350089,4149755,126857824,10499844
18,BLUESCOPE STEEL LIMITED,16 000 011 058,6289327,932133,74401145,7221460
20,BHP GROUP LIMITED,49 004 028 077,3773432,1352475,63246269,5125907
21,LIBERTY PRIMARY METALS AUSTRALIA PTY LTD,29 631 112 573,3678068,262171,31402526,3940239
22,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,3620784,1035383,34313774,4656167
23,QANTAS AIRWAYS LIMITED,16 009 661 901,3354498,83905,49645210,3438403
24,QUEENSLAND ALUMINA LIMITED,98 009 725 044,3141923,554085,41067648,3696008
25,CEMENT AUSTRALIA HOLDINGS PTY LTD,99 001 085 561,2686273,209354,13611339,2895627
26,EXXONMOBIL AUSTRALIA PTY LTD,48 091 561 198,2435245,182407,30261290,2617652
27,YANCOAL AUSTRALIA LTD,82 111 859 119,2242936,473636,17051273,2716572
28,ADBRI LIMITED,15 007 596 018,2125121,207432,14286867,2332553
29,PEABODY AUSTRALIA HOLDCO PTY LTD,61 154 820 130,2073303,195079,10255911,2268382
33,FORTESCUE METALS GROUP LTD,57 002 594 872,1907353,163969,29667422,2071322
35,CENTENNIAL COAL COMPANY LIMITED,30 003 714 538,1727968,244595,3350561,1972563
37,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,14 613 690 243,1594533,425047,22210133,2019580
38,ORICA LIMITED,24 004 145 868,1581087,163886,18581826,1744973
39,INCITEC PIVOT LIMITED,42 004 080 264,1509346,148752,29666829,1658098
40,WHITEHAVEN COAL LIMITED,68 124 425 396,1486587,105996,6312631,1592583
43,BORAL LIMITED,13 008 421 761,1408536,326741,11650233,1735277
44,APT PIPELINES LIMITED,89 009 666 700,1322249,87765,16168020,1410014
46,PECHINEY CONSOLIDATED AUSTRALIA PTY LIMITED,39 076 569 769,1203979,6780213,40509066,7984192
47,QGC UPSTREAM INVESTMENTS PTY LTD,86 131 104 651,1165494,2580901,26597525,3746395
49,VIVA ENERGY GROUP LIMITED,74 626 661 032,1000445,282152,14440620,1282597
50,KESTREL COAL GROUP PTY LTD,70 624 655 518,970726,133270,913564,1103996
51,WESFARMERS LIMITED,28 008 984 049,942068,649250,19385211,1591318
54,AUSTRALIAN LOGISTICS ACQUISITION HOLDINGS PTY LIMITED,28 611 628 909,916821,107298,13537471,1024119
55,QENOS HOLDINGS PTY LTD,62 086 026 968,824238,154698,33190183,978936
56,SUEZ AUSTRALIA HOLDING PTY LTD,30 070 452 890,759251,550822,3979697,1310073
58,SGSP (AUSTRALIA) ASSETS PTY LTD,60 126 327 624,692797,289921,7231823,982718
59,BP AUSTRALIA INVESTMENTS PTY LTD,66 102 991 551,666498,213202,11766832,879700
61,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,49 000 002 728,659151,87902,4649338,747053
62,FITZROY (CQ) PTY LTD,61 103 902 389,656338,57205,499640,713543
63,CORONADO AUSTRALIA HOLDINGS PTY LTD,23 623 524 989,614990,206230,5088668,821220
64,IDEMITSU AUSTRALIA RESOURCES PTY LTD,45 010 236 272,607301,88051,3700282,695352
65,TRONOX MANAGEMENT PTY LTD,59 009 343 364,598750,104272,10479447,703022
67,AMPOL LIMITED,40 004 201 307,576611,222097,9090721,798708
68,HANCOCK PROSPECTING PTY LIMITED,69 008 676 417,567545,245904,9676563,813449
69,NEWCREST MINING LIMITED,20 005 683 625,565199,894816,13834528,1460015
70,BHP ENERGY COAL AUSTRALIA PTY LTD,79 057 364 315,538612,78156,7366868,616768
71,TOLL HOLDINGS LIMITED,25 006 592 089,521475,56075,7608954,577550
73,AURIZON HOLDINGS LIMITED,14 146 335 622,509118,358088,8828929,867206
74,QCOAL PTY LTD,99 010 911 234,486762,58964,3899435,545726
79,WOOLWORTHS GROUP LIMITED,88 000 014 675,416651,1934120,9149388,2350771
80,PRATT CONSOLIDATED HOLDINGS PTY. LTD.,43 104 958 581,414558,868447,21000116,1283005
81,NEWMONT AUSTRALIA PTY LTD,95 099 040 507,403749,708677,10174706,1112426
83,GOLD FIELDS AUSTRALIA PTY LIMITED,91 098 385 285,393755,99947,7581191,493702
84,ILUKA RESOURCES LIMITED,34 008 675 018,384414,72930,5260711,457344
86,CAJOSA PTY LTD,73 002 724 021,354683,286971,6191663,641654
87,CLEANCO QUEENSLAND LIMITED,85 628 008 159,350388,125370,4373741,475758
88,PAPER AUSTRALIA PTY LTD,63 061 583 533,349817,317659,15833944,667476
89,HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED,48 090 994 657,342537,72647,3871933,415184
90,NYRSTAR AUSTRALIA PTY LTD,46 124 535 468,314456,202438,8296881,516894
91,ORORA LIMITED,55 004 275 165,310131,256664,6299297,566795
92,DOWNER EDI LIMITED,97 003 872 848,300875,78530,4701217,379405
93,OWENS-ILLINOIS HOLDING (AUSTRALIA) PTY LTD,30 002 060 059,300040,186527,5175545,486567
94,COLES GROUP LIMITED,11 004 089 936,287452,1308665,6602452,1596117
95,CSR LIMITED,90 000 001 276,283472,184647,5742366,468119
96,BAYBRICK PTY. LTD.,97 067 220 017,273776,225682,3280478,499458
98,LIBERTY HOLDINGS AUSTRALIA LTD,16 627 011 938,260573,827638,7340971,1088211
101,MELBOURNE WATER CORPORATION,81 945 386 953,251223,262537,1713635,513760
108,SIBELCO ASIA PACIFIC PTY LTD,70 092 916 811,222064,101176,1821215,323240
111,AUSNET SERVICES LTD.,45 603 317 559,210866,1352484,7577105,1563350
112,HOLCIM PARTICIPATIONS (AUSTRALIA) PTY LTD,46 122 401 405,206809,62708,3252059,269517
113,BRICKWORKS LTD,17 000 028 526,204134,75500,4393092,279634
114,NORTHERN STAR RESOURCES LTD,43 092 832 892,202055,134291,3980461,336346
120,NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED,50 003 902 985,186034,292037,5678322,478071
124,A.C.N. 166 119 133 PTY LTD,31 166 119 133,165005,195636,3580844,360641
126,EVOLUTION MINING LIMITED,74 084 669 036,157854,398186,4099504,556040
135,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,97 009 377 619,137991,255064,3438897,393055
136,ENERGY QUEENSLAND LIMITED,96 612 535 583,135466,1589816,8381477,1725282
138,TEYS AUSTRALIA PTY LTD,38 009 872 600,126680,106279,1684897,232959
140,AUSTRALIAN POSTAL CORPORATION,28 864 970 579,125917,138018,2452376,263935
154,NEW ZEALAND MILK (AUSTRALASIA) PTY LTD,23 003 502 654,110999,110317,2551966,221316
156,POWER AND WATER CORPORATION,15 947 352 360,109624,91907,1440637,201531
157,SILICON METAL COMPANY OF AUSTRALIA PTY LTD,73 009 401 736,109265,417703,3971547,526968
169,TRONOX MINERAL HOLDINGS AUSTRALIA PTY LTD,21 102 888 559,95661,74309,1717135,169970
176,SOUTH AUSTRALIAN WATER CORPORATION,69 336 525 019,85340,192383,2450940,277723
180,FOOD INVESTMENTS PTY. LIMITED,85 008 426 177,82337,136919,2075578,219256
181,KARARA MINING LIMITED,68 070 871 831,82268,407302,3352210,489570
186,BGC (AUSTRALIA) PTY LTD,62 005 736 005,77047,61304,1651931,138351
189,SNOWY HYDRO LIMITED,17 090 574 431,76109,309880,2405395,385989
190,WATER CORPORATION,28 003 434 917,75573,684515,3997318,760088
191,OZ MINERALS LIMITED,40 005 482 824,75449,188144,2662048,263593
196,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY,86 673 835 011,73426,62168,671445,135594
199,LENDLEASE CORPORATION LIMITED,32 000 226 228,70711,146821,1707955,217532
200,BORG MANUFACTURING PTY LIMITED,31 003 246 357,70610,141619,3068132,212229
201,BEGA CHEESE LIMITED,81 008 358 503,70582,113812,1975753,184394
202,GRINDING MEDIA PTY LTD,47 615 611 759,69836,155966,1897769,225802
206,VEOLIA WATER AUSTRALIA PTY LTD,99 061 161 279,67032,346598,2517860,413630
208,FLETCHER BUILDING (AUSTRALIA) PTY LTD,11 093 539 452,65588,259066,6122801,324654
211,ICON WATER LIMITED,86 069 381 960,64870,155726,915287,220596
213,LION PTY LTD,50 128 004 268,64123,147175,1811721,211298
214,CCCI AUSTRALIA PTY LTD,95 603 555 988,63977,116031,1420914,180008
218,KEOLIS AUSTRALIA PTY LTD,68 132 482 850,62558,101795,1263014,164353
221,THE TRUSTEE FOR COSTA'S UNIT TRUST,72 534 822 931,60522,73036,1068466,133558
228,INGHAMS GROUP LIMITED,39 162 709 506,57607,167160,1751885,224767
229,NSW TRAINS,50 325 560 455,57455,153190,1500867,210645
231,BAIADA PTY LTD,47 000 426 808,56585,163126,2043695,219711
232,ASAHI HOLDINGS (AUSTRALIA) PTY LTD,48 135 315 767,56325,121350,1523797,177675
239,NORTON GOLD FIELDS PTY LTD,23 112 287 797,53172,64967,1123371,118139
242,RIDLEY CORPORATION LIMITED,33 006 708 765,52173,58458,1231967,110631
251,SYDNEY WATER CORPORATION,49 776 225 038,46021,305904,2509661,351925
254,GRAINCORP LIMITED,60 057 186 035,43967,61386,979123,105353
258,SORBENT PAPER HOLDINGS PTY LTD,20 631 219 906,42130,118927,1235540,161057
264,ALDI FOODS PTY LIMITED,18 086 210 139,39157,229028,1511997,268185
269,LACTALIS AUSTRALIA PTY LTD,56 072 928 879,36589,106282,1155768,142871
270,NESTLE AUSTRALIA LTD,77 000 011 316,36147,104594,1496055,140741
271,TELSTRA CORPORATION LIMITED,33 051 775 556,36019,1140573,5593779,1176592
273,MARS WRIGLEY AUSTRALIA HOLDINGS PTY LTD,68 133 509 930,34826,66781,851565,101607
275,BOC LIMITED,95 000 029 729,34322,431446,2441942,465768
276,ELECTRICITY NETWORKS CORPORATION,18 540 492 861,33824,698452,4027135,732276
277,RCI HOLDINGS PTY LTD,55 101 671 121,33121,60967,723904,94088
279,WINDFIELD HOLDINGS PTY LTD,60 160 456 164,32795,59546,784922,92341
280,QUEENSLAND RAIL,68 598 268 528,32757,255363,1605492,288120
282,RITCHIES STORES PROPRIETARY LIMITED,61 005 041 814,32127,71338,293198,103465
283,VICTORIA POWER NETWORKS PTY LTD,37 116 940 820,32106,1050596,4109659,1082702
285,AURELIA METALS LIMITED,37 108 476 384,31687,62234,822228,93921
286,GLADSTONE PORTS CORPORATION LIMITED,96 263 788 242,30804,60549,709022,91353
287,MCCAIN FOODS (AUST) PTY LTD,96 000 629 587,30109,64860,1228713,94969
288,MMG MANAGEMENT PTY LTD,33 115 312 680,29371,117802,1581269,147173
290,ESSENTIAL ENERGY,37 428 185 226,27578,559456,2763464,587034
291,A B C TISSUE PRODUCTS PTY LTD,33 003 085 112,27276,60333,791679,87609
295,COCA-COLA AMATIL LIMITED,26 004 139 397,25014,88977,839466,113991
301,AAPC LIMITED,87 009 175 820,23504,184692,1255635,208196
302,EMR CAPITAL GOLDEN GROVE PTY LTD,76 616 179 705,23396,95231,845926,118627
303,KIRKLAND LAKE GOLD VICTORIA HOLDINGS PTY LTD,21 128 442 375,23013,123691,784836,146704
304,ASSOCIATED KILN DRIERS PTY. LIMITED,34 004 341 048,22976,63652,2160810,86628
305,CROWN RESORTS LIMITED,39 125 709 953,22413,115683,888383,138096
306,AUSGRID MANAGEMENT PTY LTD,83 615 449 548,21951,789287,3637838,811238
307,NORTHERN SEQ DISTRIBUTOR - RETAILER AUTHORITY,89 791 717 472,21792,55423,312245,77215
308,STOCKLAND CORPORATION LTD,43 000 181 733,21016,54047,599075,75063
312,MATER MISERICORDIAE LTD,83 096 708 922,18846,56938,508362,75784
313,MONASH UNIVERSITY,12 377 614 012,18776,101762,729408,120538
314,EPSILON DISTRIBUTION MINISTERIAL HOLDING CORPORATION,59 253 130 878,18396,613498,2867034,631894
315,CSL LIMITED,99 051 588 348,17844,75288,609068,93132
316,PACT GROUP HOLDINGS LTD,55 145 989 644,17620,208162,1244866,225782
317,AERIS RESOURCES LIMITED,30 147 131 977,17484,68633,553030,86117
318,QUEENSLAND ELECTRICITY TRANSMISSION CORPORATION LIMITED,82 078 849 233,17446,1140775,5100955,1158221
319,RAMSAY HEALTH CARE LIMITED,57 001 288 768,17393,155695,1009936,173088
320,HEALTHSCOPE PTY LTD,65 144 840 639,17306,92889,752605,110195
321,DEXUS HOLDINGS PTY LIMITED,48 110 366 946,17187,118513,644544,135700
322,SCENTRE GROUP LIMITED,66 001 671 496,16314,232546,1195374,248860
323,CKI UTILITIES DEVELOPMENT LIMITED & OTHERS,13 332 330 749,16283,405119,3513278,421402
325,OVATO LIMITED,39 050 148 644,15606,62752,579768,78358
326,UNIVERSITY OF MELBOURNE,84 002 705 224,15435,114315,711691,129750
327,OLAM ORCHARDS AUSTRALIA PTY LTD,15 139 442 532,14511,93755,555754,108266
328,NSW ELECTRICITY NETWORKS OPERATIONS PTY LIMITED,609 169 959,14429,1336619,5996303,1351048
329,COMPETITIVE FOODS AUSTRALIA PTY LTD,48 010 542 908,14394,120857,820448,135251
330,ST JOHN OF GOD HEALTH CARE INC,21 930 207 958,14270,60481,545634,74751
331,AUSTRALIAN NATIONAL UNIVERSITY,52 234 063 906,14249,82387,628911,96636
332,PERILYA LIMITED,85 009 193 695,14196,136072,849361,150268
333,TRILITY GROUP PTY LTD,39 144 522 565,13666,124656,994502,138322
335,MONASH HEALTH,82 142 080 338,13166,63783,484375,76949
336,QIC LIMITED,95 942 373 762,12630,107449,598670,120079
337,COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,41 687 119 230,12417,88962,647551,101379
338,ST VINCENT'S HEALTH AUSTRALIA LTD,75 073 503 536,12202,90644,613457,102846
339,NATIONAL AUSTRALIA BANK LIMITED,12 004 044 937,11890,77512,517446,89402
340,CAPRICORN COPPER HOLDINGS PTY LTD,60 608 241 121,11835,66967,472611,78802
341,EVENT HOSPITALITY AND ENTERTAINMENT LTD,51 000 005 103,11791,109608,713928,121399
342,THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (Q.),25 548 385 225,11576,76318,519941,87894
344,SYDNEY TRAINS,38 284 779 682,11510,537765,2540145,549275
346,CHARTER HALL LIMITED,57 113 531 150,10669,92917,485610,103586
348,CHEMCO PTY LTD,68 008 725 817,10169,127514,835417,137683
350,IX INFRASTRUCTURE PTY LTD,78 629 750 401,9452,140107,955737,149559
351,THE STAR ENTERTAINMENT GROUP LIMITED,85 149 629 023,9417,85991,559724,95408
352,CMOC MINING PTY LIMITED,17 164 997 317,8894,209895,1064920,218789
354,CBH RESOURCES LIMITED,27 009 423 858,8625,90698,527743,99323
355,SONIC HEALTHCARE LIMITED,24 004 196 909,8450,56529,384187,64979
356,PUBLIC TRANSPORT AUTHORITY OF WESTERN AUSTRALIA,61 850 109 576,8212,140420,851212,148632
357,GPT MANAGEMENT HOLDINGS LIMITED,67 113 510 188,8187,83863,471952,92050
358,ISPT PTY LTD,28 064 041 283,8127,60089,338619,68216
360,UNIVERSITY OF NEW SOUTH WALES,57 195 873 179,7544,75367,484367,82911
361,COMMONWEALTH BANK OF AUSTRALIA,48 123 123 124,7536,96134,549118,103670
362,METCASH LIMITED,32 112 073 480,7364,65584,412551,72948
364,TASMANIAN NETWORKS PTY LTD,24 167 357 299,7220,65361,1626612,72581
366,MIRVAC LIMITED,92 003 280 699,6841,70254,425226,77095
367,UNIVERSITY OF SYDNEY,15 211 513 464,6785,92252,541943,99037
368,AMP LIMITED,49 079 354 519,6783,83518,479190,90301
370,PFG TOPCO1 PTY LIMITED,35 604 317 875,6609,72101,411024,78710
371,SYDNEY AIRPORT LIMITED,18 165 056 360,6568,81949,481718,88517
372,SUN METALS HOLDINGS LIMITED,30 051 538 580,6561,599164,3159449,605725
373,AIR LIQUIDE AUSTRALIA LIMITED,57 004 385 782,6532,212749,1355658,219281
374,HARVEY NORMAN HOLDINGS LTD,54 003 237 545,6300,108662,583328,114962
375,METRO TRAINS MELBOURNE PTY. LTD.,43 136 429 948,6056,474097,1768890,480153
377,WESTPAC BANKING CORPORATION,33 007 457 141,5694,95786,500234,101480
378,NEWS AUSTRALIA HOLDINGS PTY LIMITED,32 105 197 028,5389,82648,457306,88037
379,VICINITY LIMITED,90 114 757 783,5148,133008,730287,138156
381,NBN CO LIMITED,86 136 533 741,5112,294002,1376200,299114
383,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,11 005 357 522,3951,97136,437710,101087
384,SUNWATER LIMITED,17 020 276 523,3687,177526,840754,181213
385,AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,47 956 969 590,3570,57180,247450,60750
386,EMERGENT COLD TOPCO PTY LTD,80 622 089 909,3494,95672,435284,99166
387,MYER HOLDINGS LIMITED,14 119 085 602,3413,110331,503854,113744
388,OSIRIS HOLDINGS PTY LTD,29 168 919 391,3355,70478,333567,73833
389,ELECTRANET PTY LIMITED,41 094 482 416,3322,162991,1337320,166313
390,TRANSURBAN HOLDINGS LIMITED,86 098 143 429,3203,134995,624118,138198
392,QUEENSLAND BULK WATER SUPPLY AUTHORITY,75 450 239 876,2346,110497,522514,112843
393,WATER NSW,21 147 934 787,2252,62570,310125,64822
394,SINGAPORE TELECOM AUSTRALIA INVESTMENTS PTY LIMITED,69 096 686 190,1833,412483,1831233,414316
395,A.C.N. 085 239 998 PTY LTD,39 085 239 998,1644,170058,789606,171702
396,THE UNIVERSITY OF QUEENSLAND,63 942 912 684,1504,106486,529937,107990
397,FREQUENCY INFRASTRUCTURE AUSTRALIA HOLDINGS PTY LTD,27 136 262 952,1241,73015,360057,74256
398,EQUINIX AUSTRALIA PTY LIMITED,25 092 807 264,1198,297414,1271291,298612
399,DALRYMPLE BAY COAL TERMINAL PTY. LTD.,12 010 268 167,1189,81474,381036,82663
400,ALIAXIS HOLDINGS AUSTRALIA PTY LIMITED,33 169 799 080,1036,57706,277546,58742
401,FUJITSU AUSTRALIA LTD,19 001 011 427,998,120615,544228,121613
402,SUPER RETAIL GROUP LIMITED,81 108 676 204,829,64930,301433,65759
403,R.G. WITHERS NOMINEES PTY. LTD.,005 620 860,797,125063,529230,125860
404,AMAZON CORPORATE SERVICES PTY LTD,95 082 931 600,771,134104,606756,134875
405,PORT WARATAH COAL SERVICES LTD,99 001 363 828,484,118090,531847,118574
406,NEXTDC LIMITED,35 143 582 521,433,218605,906422,219038
407,TPG TELECOM LIMITED,76 096 304 620,382,162620,739175,163002
408,NCIG HOLDINGS PTY LTD,98 124 700 483,333,67590,305942,67923
409,JB HI-FI LIMITED,80 093 220 136,247,66529,293728,66776
410,MCDONALD'S AUSTRALIA LIMITED,43 008 496 928,232,79024,349138,79256
411,AIRTRUNK AUSTRALIA HOLDING PTY LTD,50 616 379 232,132,94528,397923,94660
412,DIGITAL AUSTRALIA INVESTMENT MANAGEMENT PTY LIMITED,27 150 294 134,98,52544,215987,52642
413,GLOBAL SWITCH AUSTRALIA PTY LIMITED,65 094 338 333,92,137617,612953,137709
414,LYONDELLBASELL AUSTRALIA (HOLDINGS) PTY LTD,74 066 270 237,2,64392,63913,64394
